Combined_Key,Country_Region,Province_State,Admin2,iso2,iso3,FIPS,Lat,Long,Population_Count
"Palo Alto, Iowa, US",United States,Iowa,Palo Alto,US,USA,19147,43.08193849,-94.67824621,8886
"Orange, New York, US",United States,New York,Orange,US,USA,36071,41.40337468,-74.30240757,384940
"Donley, Texas, US",United States,Texas,Donley,US,USA,48129,34.96517499,-100.8140093,3278
"Forest, Pennsylvania, US",United States,Pennsylvania,Forest,US,USA,42053,41.51095103,-79.23229292,7247
"Meigs, Tennessee, US",United States,Tennessee,Meigs,US,USA,47121,35.51558739,-84.81482914,12422
"Morgan, Kentucky, US",United States,Kentucky,Morgan,US,USA,21175,37.92465657,-83.25558245,13309
"Martin, Kentucky, US",United States,Kentucky,Martin,US,USA,21159,37.79990579,-82.51247478,11195
"Jewell, Kansas, US",United States,Kansas,Jewell,US,USA,20089,39.78470589,-98.21820662,2879
"Union, Florida, US",United States,Florida,Union,US,USA,12125,30.04412971,-82.37497443,15237
"Sherman, Nebraska, US",United States,Nebraska,Sherman,US,USA,31163,41.22045983,-98.97588642,3001
"Hidalgo, New Mexico, US",United States,New Mexico,Hidalgo,US,USA,35023,31.91383467,-108.7151824,4198
"Kingman, Kansas, US",United States,Kansas,Kingman,US,USA,20095,37.55909527,-98.13638678,7152
"Logan, Nebraska, US",United States,Nebraska,Logan,US,USA,31113,41.56650314,-100.4817851,748
"Lafourche, Louisiana, US",United States,Louisiana,Lafourche,US,USA,22057,29.52470226,-90.40976986,97614
"Calhoun, Mississippi, US",United States,Mississippi,Calhoun,US,USA,28013,33.93683395,-89.33686647,14361
"Hinsdale, Colorado, US",United States,Colorado,Hinsdale,US,USA,8053,37.82247444,-107.3004345,820
"Massac, Illinois, US",United States,Illinois,Massac,US,USA,17127,37.22078441,-88.71036614,13772
"McClain, Oklahoma, US",United States,Oklahoma,McClain,US,USA,40087,35.01123903,-97.44572302,40474
"Cuyahoga, Ohio, US",United States,Ohio,Cuyahoga,US,USA,39035,41.424119,-81.65918339,1235072
"Bedford, Pennsylvania, US",United States,Pennsylvania,Bedford,US,USA,42009,40.00522157,-78.48998442,47888
"Black Hawk, Iowa, US",United States,Iowa,Black Hawk,US,USA,19013,42.4704581,-92.30524729,131228
"Murray, Minnesota, US",United States,Minnesota,Murray,US,USA,27101,44.02216709,-95.76328482,8194
"Guam, US",United States,Guam,,GU,GUM,66,13.4443,144.7937,164229
"Wheeler, Georgia, US",United States,Georgia,Wheeler,US,USA,13309,32.12009104,-82.72574721,7855
"Walton, Florida, US",United States,Florida,Walton,US,USA,12131,30.64204028,-86.16935664,74071
"Union, Georgia, US",United States,Georgia,Union,US,USA,13291,34.82995757,-83.98967069,24511
"Randall, Texas, US",United States,Texas,Randall,US,USA,48381,34.96585996,-101.8971322,137713
"Clearwater, Idaho, US",United States,Idaho,Clearwater,US,USA,16035,46.67459924,-115.6622393,8756
"Kenton, Kentucky, US",United States,Kentucky,Kenton,US,USA,21117,38.93950319,-84.53241199,166998
"Bledsoe, Tennessee, US",United States,Tennessee,Bledsoe,US,USA,47007,35.59942968,-85.20611967,15064
"Howard, Iowa, US",United States,Iowa,Howard,US,USA,19089,43.35671042,-92.31702714,9158
"Ottawa, Kansas, US",United States,Kansas,Ottawa,US,USA,20143,39.13237408,-97.65020313,5704
"Eagle, Colorado, US",United States,Colorado,Eagle,US,USA,8037,39.62754308,-106.6933637,55127
"Butte, California, US",United States,California,Butte,US,USA,6007,39.66727762,-121.6005252,219186
"Decatur, Georgia, US",United States,Georgia,Decatur,US,USA,13087,30.87967778,-84.57619536,26404
"Gregory, South Dakota, US",United States,South Dakota,Gregory,US,USA,46053,43.19419064,-99.18883902,4185
"Bosque, Texas, US",United States,Texas,Bosque,US,USA,48035,31.89978581,-97.63613524,18685
"San Juan, Utah, US",United States,Utah,San Juan,US,USA,49037,37.62762978,-109.8033714,15308
"Jackson, Michigan, US",United States,Michigan,Jackson,US,USA,26075,42.24807035,-84.42258681,158510
"Val Verde, Texas, US",United States,Texas,Val Verde,US,USA,48465,29.89149232,-101.1525205,49025
"Dickinson, Kansas, US",United States,Kansas,Dickinson,US,USA,20041,38.86600962,-97.15532383,18466
"Mineral, Montana, US",United States,Montana,Mineral,US,USA,30061,47.15283992,-115.0015239,4397
